First,Second,Mean,Type,Cal.,Latitude,Longitude,Mean time,Local time,Latitude,Longitude
5/30/2008 1:34,5/30/2008 20:32,5/30/2008 11:03,Midday,-6.2,55.615,13.653,5/30/2008 0:00,,56.000,14.500
5/30/2008 20:32,5/31/2008 1:18,5/30/2008 22:55,Midnight,-6.2,56.247,15.671,5/30/2008 16:59,2008-05-30 17:58,55.931,14.662
5/31/2008 1:18,5/31/2008 20:39,5/31/2008 10:59,Midday,-6.2,56.563,14.689,,,,
5/31/2008 20:39,6/1/2008 1:25,5/31/2008 23:02,Midnight,-6.2,56.090,13.958,5/31/2008 17:01,2008-05-31 17:58,56.326,14.324
6/1/2008 1:25,6/1/2008 20:40,6/1/2008 11:03,Midday,-6.2,56.143,13.728,,,,
6/1/2008 20:40,6/2/2008 1:25,6/1/2008 23:03,Midnight,-6.2,55.941,13.747,6/1/2008 17:03,2008-06-01 17:58,56.042,13.738
6/2/2008 1:25,6/2/2008 20:34,6/2/2008 11:00,Midday,-6.2,55.721,14.517,,,,
6/2/2008 20:34,6/3/2008 1:27,6/2/2008 23:01,Midnight,-6.2,55.428,14.288,6/2/2008 17:00,2008-06-02 17:58,55.574,14.403
6/3/2008 1:27,6/3/2008 20:34,6/3/2008 11:01,Midday,-6.2,55.486,14.309,,,,
6/3/2008 20:34,6/4/2008 1:25,6/3/2008 23:00,Midnight,-6.2,55.387,14.580,6/3/2008 17:00,2008-06-03 17:58,55.437,14.444
6/4/2008 1:25,6/4/2008 20:37,6/4/2008 11:01,Midday,-6.2,55.540,14.352,,,,
6/4/2008 20:37,6/5/2008 1:28,6/4/2008 23:03,Midnight,-6.2,55.260,13.874,6/4/2008 17:02,2008-06-04 17:59,55.400,14.113
6/5/2008 1:28,6/5/2008 20:47,6/5/2008 11:08,Midday,-6.2,55.776,12.646,,,,
6/5/2008 20:47,6/6/2008 1:13,6/5/2008 23:00,Midnight,-6.2,56.286,14.668,6/5/2008 17:04,2008-06-05 17:59,56.031,13.657
6/6/2008 1:13,6/6/2008 20:41,6/6/2008 10:57,Midday,-6.2,56.007,15.441,,,,
6/6/2008 20:41,6/7/2008 1:10,6/6/2008 22:56,Midnight,-6.2,56.010,15.714,6/6/2008 16:57,2008-06-06 17:59,56.008,15.578
6/7/2008 1:10,6/7/2008 20:44,6/7/2008 10:57,Midday,-6.2,56.148,15.488,,,,
6/7/2008 20:44,6/8/2008 1:27,6/7/2008 23:06,Midnight,-6.2,55.294,13.262,6/7/2008 17:02,2008-06-07 17:59,55.721,14.375
6/8/2008 1:27,6/8/2008 20:40,6/8/2008 11:04,Midday,-6.2,55.174,13.786,,,,
6/8/2008 20:40,6/9/2008 1:15,6/8/2008 22:58,Midnight,-6.2,55.554,15.310,6/8/2008 17:01,2008-06-08 17:59,55.364,14.548
6/9/2008 1:15,6/9/2008 20:51,6/9/2008 11:03,Midday,-6.2,56.035,14.085,,,,
6/9/2008 20:51,6/10/2008 1:25,6/9/2008 23:08,Midnight,-6.2,55.552,12.860,6/9/2008 17:06,2008-06-09 18:00,55.793,13.473
6/10/2008 1:25,6/10/2008 20:54,6/10/2008 11:10,Midday,-6.2,55.698,12.385,,,,
6/10/2008 20:54,6/11/2008 1:10,6/10/2008 23:02,Midnight,-6.2,56.211,14.410,6/10/2008 17:06,2008-06-10 18:00,55.955,13.398
6/11/2008 1:10,6/11/2008 20:43,6/11/2008 10:57,Midday,-6.2,55.787,15.686,,,,
6/11/2008 20:43,6/12/2008 1:17,6/11/2008 23:00,Midnight,-6.2,55.398,14.961,6/11/2008 16:59,2008-06-11 18:00,55.593,15.323
6/12/2008 1:17,6/12/2008 20:53,6/12/2008 11:05,Midday,-6.2,55.798,13.737,,,,
6/12/2008 20:53,6/13/2008 1:06,6/12/2008 23:00,Midnight,-6.2,56.152,15.013,6/12/2008 17:03,2008-06-12 18:00,55.975,14.375
6/13/2008 1:06,6/13/2008 20:41,6/13/2008 10:54,Midday,-6.2,55.734,16.539,,,,
6/13/2008 20:41,6/14/2008 1:13,6/13/2008 22:57,Midnight,-6.2,55.361,15.816,6/13/2008 16:56,2008-06-13 18:00,55.547,16.178
6/14/2008 1:13,6/14/2008 20:40,6/14/2008 10:57,Midday,-6.2,55.341,15.842,,,,
6/14/2008 20:40,6/15/2008 1:20,6/14/2008 23:00,Midnight,-6.2,54.959,15.119,6/14/2008 16:59,2008-06-14 18:00,55.150,15.481
6/15/2008 1:20,6/15/2008 20:33,6/15/2008 10:57,Midday,-6.2,54.667,15.896,,,,
6/15/2008 20:33,6/16/2008 1:26,6/15/2008 23:00,Midnight,-6.2,54.264,15.173,6/15/2008 16:58,2008-06-15 18:00,54.466,15.534
6/16/2008 1:26,6/16/2008 20:39,6/16/2008 11:03,Midday,-6.2,54.625,14.450,,,,
6/16/2008 20:39,6/17/2008 1:26,6/16/2008 23:03,Midnight,-6.2,54.514,14.477,6/16/2008 17:03,2008-06-16 18:01,54.569,14.463
6/17/2008 1:26,6/17/2008 20:43,6/17/2008 11:05,Midday,-6.2,54.775,14.004,,,,
6/17/2008 20:43,6/18/2008 1:15,6/17/2008 22:59,Midnight,-6.2,55.204,15.531,6/17/2008 17:02,2008-06-17 18:01,54.989,14.767
6/18/2008 1:15,6/18/2008 20:47,6/18/2008 11:01,Midday,-6.2,55.361,15.058,,,,
6/18/2008 20:47,6/19/2008 1:34,6/18/2008 23:11,Midnight,-6.2,54.466,12.586,6/18/2008 17:06,2008-06-18 18:01,54.913,13.822
6/19/2008 1:34,6/19/2008 21:00,6/19/2008 11:17,Midday,-6.2,55.085,11.113,,,,
6/19/2008 21:00,6/20/2008 1:36,6/19/2008 23:18,Midnight,-6.2,54.998,10.891,6/19/2008 17:18,2008-06-19 18:02,55.042,11.002
